year,month,temp_max_mean,temp_min_mean,rain_sum,humidity_mean,radiation_sum,soil_0_7_mean,soil_7_28_mean
2003,9,27.83,21.33,237.79999999999998,82.9,501.7,0.475925,0.4829972222222222
2003,10,26.664516129032258,20.451612903225808,125.5,83.19354838709677,476.33,0.4422284946236559,0.4592943548387096
2003,11,27.146666666666665,19.496666666666666,45.3,77.36666666666666,509.12,0.34987916666666663,0.40660416666666666
2003,12,23.980645161290322,17.729032258064517,18.4,79.12903225806451,367.77,0.299122311827957,0.3517822580645161
2004,1,26.9741935483871,17.86774193548387,1.7,73.25806451612904,507.25,0.2167849462365591,0.3138077956989247
2004,2,29.56206896551724,17.74137931034483,0.0,63.689655172413794,621.14,0.197051724137931,0.28941954022988503
2004,3,31.451612903225808,20.451612903225808,11.5,65.06451612903226,660.6,0.2074784946236559,0.2809731182795699
2004,4,32.39333333333333,22.09,57.3,67.63333333333334,671.12,0.2782111111111111,0.28605138888888887
2004,5,31.177419354838708,22.574193548387097,138.9,73.06451612903226,625.74,0.36254032258064517,0.34516129032258064
2004,6,28.38,21.913333333333334,158.1,79.4,517.45,0.43865,0.4200472222222222
2004,7,28.4,21.451612903225808,180.5,80.64516129032258,570.34,0.4534879032258064,0.44454435483870963
2004,8,27.206451612903226,21.774193548387096,184.6,82.19354838709677,510.72,0.4659368279569892,0.4721518817204301
2004,9,28.126666666666665,20.986666666666668,141.4,81.26666666666667,544.48,0.45725,0.4583041666666666
2004,10,28.406451612903226,19.9,19.599999999999998,72.51612903225806,574.33,0.317741935483871,0.38310080645161293
2004,11,27.866666666666667,20.086666666666666,8.9,73.93333333333334,445.73,0.2206208333333333,0.31179444444444443
2004,12,26.061290322580643,17.461290322580645,5.0,72.2258064516129,480.52,0.22352822580645157,0.29509408602150533
2005,1,27.87741935483871,17.129032258064516,0.6,66.93548387096774,566.24,0.1986854838709677,0.28419892473118274
2005,2,32.096428571428575,19.575,1.2,60.25,614.99,0.1971770833333333,0.2791741071428572
